experiment	experiment_id	condition	condition_id	stimulus_id	stimulus_name	page_id	item_id	text	question_id	question	response_true	distractor_1	distractor_2	distractor_3
Reveil-en	2	real	1	2	Octopus	1	17	"Inky the Octopus Escapes from Aquarium@#@An octopus has made a brazen escape from the National Aquarium in New Zealand by breaking out of its tank, slithering down a 50-meter drainpipe and disappearing into the sea."	1	What did the octopus Inky do?	Escaped to the sea	Hid in its tank	Was moved to another zoo	Learned tricks
Reveil-en	2	real	1	2	Octopus	2	18	"In scenes reminiscent of Finding Nemo, Inky – a common New Zealand octopus – made his dash for freedom after the lid of his tank was accidentally left slightly ajar."		NA	NA	NA	NA	NA
Reveil-en	2	real	1	2	Octopus	3	19	"Staff believe that in the middle of the night, while the aquarium was deserted, Inky clambered to the top of his glass enclosure, down the side of the tank and traveled across the floor of the aquarium."		NA	NA	NA	NA	NA
Reveil-en	2	real	1	2	Octopus	4	20	"Rob Yarrell, national manager of the National Aquarium of New Zealand in Napier, said: “Octopuses are famous escape artists. I don’t think he was unhappy with us, or lonely, as octopuses are solitary creatures. But, he is such a curious boy. He would want to know what’s happening on the outside. That’s just his personality.”"	2	How does Yarrell describe Inky’s personality?	Curious	Nervous about what’s happening on the outside	Unhappy	Playful and mischievous
Reveil-en	2	real	1	2	Octopus	5	21	"One theory is that Inky slid across the aquarium floor – a journey of three or four meters – and then, sensing freedom was at hand, into a drainpipe that led directly to the sea. The drainpipe was 50 meters long and opened onto the waters of Hawke’s Bay, on the east coast of New Zealand’s North Island."		NA	NA	NA	NA	NA
Reveil-en	2	real	1	2	Octopus	6	22	"Another possible escape route could have involved Inky squeezing into an open pipe at the top of his tank, which led under the floor to the drain."	3	How did Inky escape?	No one is sure - there are several theories that could explain his escape	Through an open pipe at the top of his tank	Yarrell and other staff secretly helped him	Through a window that was accidentally left open
Reveil-en	2	real	1	2	Octopus	7	23	"“When we came in the next morning and his tank was empty, I was really surprised,” said Yarrell, who has not launched a search for Inky. “The staff and I have been pretty sad. But then, this is Inky and he’s always been a bit of a surprise octopus.”"	4	How did the staff feel about Inky’s escape?	Sad	Confused	Angry	Excited
Reveil-en	2	real	1	2	Octopus	8	24	"Reiss Jenkinson, exhibits keeper at the National Aquarium, said he was absolutely certain Inky had not been taken."		NA	NA	NA	NA	NA
Reveil-en	2	real	1	2	Octopus	9	25	"“I understand the nature of octopus behavior very well,” he said. “I have seen octopuses on boats slip through bilge pumps. And, the security here is too tight for anyone to take Inky and why would they?”"	5	Why does he think Inky wasn’t stolen?	Security is tight	Octopuses are dangerous	Inky is too big	Octopuses are cheap
Reveil-en	2	real	1	2	Octopus	10	26	"Because octopuses have no bones, they are able to fit into extremely small spaces and have been filmed squeezing through gaps the size of coins. They are also understood to be extremely intelligent and capable of using tools."	6	Why can octopuses fit through small spaces?	They have no bones	They are small	They are strong	They can change color
Reveil-en	2	real	1	2	Octopus	11	27	"At the Island Bay Marine Education Center in Wellington, an octopus was found to be in the habit of visiting another tank overnight to steal crabs, then returning to its own. Another at the center, Ozymandias, was thought to have broken a world record for opening a jar before it was released into the ocean."	7	Why does the article mention Ozymandias?	To give an example of the cleverness of octopuses	To explain that octopuses like opening jars	To prove that octopuses can squeeze through gaps the size of coins	To convey that there were other octopuses in the aquarium
Reveil-en	2	real	1	2	Octopus	12	28	"Inky was brought to the National Aquarium a number of years ago by a local fisherman who found him caught in a crayfish pot. He was scarred and “rough looking”, said Yarrell. “He had been living on the reef and fighting with fish so he wasn’t in the best shape.”"	8	Why was Inky in poor shape before coming to the aquarium?	Because he fought with fish on a reef	Because he lived around sick fish	Because he lived in a dirty fishing pot	Because he was mistreated in the previous aquarium he lived in
Reveil-en	2	real	1	2	Octopus	13	29	"According to Yarrell, Inky – who is about the size of a rugby ball – was an “unusually intelligent” octopus. “He was very friendly, very inquisitive and a popular attraction here. We have another octopus, Blotchy, but he is smaller than Inky and Inky had the personality.”"	9	What made Inky stand out from Blotchy?	He had more personality	He was bigger	He was stronger	He ate more food
Reveil-en	2	real	1	2	Octopus	14	30	The aquarium has no plans to step up security as a result of the escape as Inky was a “one-off” but the staff are “increasingly aware of what octopuses can actually do”.		NA	NA	NA	NA	NA
Reveil-en	2	real	1	2	Octopus	15	31	" Although the aquarium is not actively searching for a replacement for Inky, if a fisherman brought in another octopus, it might be willing to take it on."	10	Will the aquarium replace Inky?	Only if one is brought in	"Yes, soon"	"No, never"	"Yes, in one year"
Reveil-en	2	real	1	3	Japan	1	32	Japan Calls Time on Long Hours Work Culture@#@The regulation eight hours in the office is over. The most important work of the day is done; whatever is left can wait until the morning. This is the point many workers would think about heading for the door.	1	What change is happening in Japan’s work culture?	Ending long work hours	Longer lunch breaks	More holidays	Starting night shifts
Reveil-en	2	real	1	3	Japan	2	33	"Yet, for millions of Japanese employees, the thought of clearing away their desks and being at home in time for dinner is enough to invite accusations of disloyalty to the company."	2	Why don’t many Japanese workers leave on time?	They fear being seen as disloyal	They enjoy work	They have no dinner plans	They are paid extra
Reveil-en	2	real	1	3	Japan	3	34	"But, after decades of giving companies carte blanche to milk every last drop of productivity from their workforce, a challenge to Japan’s ingrained culture of overwork has come from the government, which is considering making it a legal requirement for workers to take at least five days’ paid holiday a year."	3	What does the Japanese government want workers to do now?	Take more days off	Not work during national holidays	Be home in time for dinner	More overtime
Reveil-en	2	real	1	3	Japan	4	35	"Japanese employees are currently entitled to an average 18.5 days’ paid holiday a year – only two fewer than the global average – with a minimum of ten days, as well as 15 one-day national holidays."		NA	NA	NA	NA	NA
Reveil-en	2	real	1	3	Japan	5	36	"In reality, few come even close to taking their full quota, typically using only nine of their 18.5-day average entitlement. While many British workers regard a two-week summer holiday as an inalienable right, workers in Japan have come to see a four-night vacation as the height of self-indulgence."	4	What are Japanese workers likely to think about taking a two-week summer holiday?	That it is unnecessarily long	That it is not their right	That their employers would not allow it	That it would be boring
Reveil-en	2	real	1	3	Japan	6	37	"The move, to be debated in the current parliamentary session, comes after companies started encouraging employees to nap on the job to improve their performance."	5	What have companies started encouraging?	Napping at work	Working from home	Longer hours	Early retirement
Reveil-en	2	real	1	3	Japan	7	38	"By the end of the decade, the government hopes that, if passed, the law will push Japanese employees towards following the example set by British workers, who use an average of 20 days’ paid annual leave, and those in France, who take an average of 25."	6	What is the government’s goal for the new law?	Follow European vacation habits	Reduce paid leave	Ban long holidays	Increase employees’ salaries
Reveil-en	2	real	1	3	Japan	8	39	"Japan’s unforgiving work culture may have helped turn it into an economic superpower, its corporate foot soldiers revered in the rest of the world for their commitment to the company, but this has often been to the exclusion of everything else."	7	How do people in the world view the Japanese employees?	They highly respect them	They think they are too committed to their companies	They criticize their willingness to sacrifice family for work	They think they are too complacent
Reveil-en	2	real	1	3	Japan	9	40	"Japan’s low birth rate and predictions of rapid population decline are partly blamed on the lack of time couples have to start families. More employees are falling ill from stress, or worse, succumbing to karoshi, death through overwork."	8	What is one reason for Japan’s low birth rate?	Lack of time for families	Health issues	High costs	Too many children
Reveil-en	2	real	1	3	Japan	10	41	"Despite studies suggesting that longer hours in the office or workshop or on the factory floor do not necessarily make people more productive, today’s workers are still nursing a collective hangover from the bubble years of the 1980s."	9	Why do some workers still work long hours?	It's a leftover habit from the past	It's more efficient	It's required by law	It's encouraged by health studies
Reveil-en	2	real	1	3	Japan	11	42	"About 22% of Japanese work more than 49 hours a week, compared with 16% of US workers and 11% in France and Germany, according to data from the Japanese government."		NA	NA	NA	NA	NA
Reveil-en	2	real	1	3	Japan	12	43	"In spending 14 hours a day at work and giving up many of her paid holidays, Erika Sekiguchi is not even an extreme example. The 36-year-old trading company employee used eight of her 20 days of paid vacation in 2014, six of which counted as sick leave. "	10	What does Erika’s work routine show?	She works long hours and takes few breaks	She dislikes holidays	She travels often for work	She has health problems
Reveil-en	2	real	1	3	Japan	13	44	"“Nobody else uses their vacation days,” Sekiguchi said. She faces a dilemma: never to take time off or to invite criticism for leaving her colleagues in the lurch."		NA	NA	NA	NA	NA
Reveil-en	2	real	1	3	Japan	14	45	"Yuu Wakebe, a health ministry official overseeing policy on working hours, who admits putting in 100 hours of overtime a month, blames the irresistible pressure to match one’s colleagues, hour for hour."	11	Why does Yuu Wakebe work long hours?	He feels pressure to match coworkers	He enjoys the work	He wants a promotion	He needs more money
Reveil-en	2	real	1	3	Japan	15	46	"“It is a worker’s right to take paid vacations,” Wakebe said. “But unfortunately working in Japan involves quite a lot of volunteer spirit.”"	12	Who says that Japanese workers don’t use their vacation days?	Erika Sekiguchi	An old employee of a company	Yuu Wakebe	A journalist
